CIK, Name, Date, Information Table Links, File Type, 
813470,ADVANCE_CAPITAL_I_INC,2005/5/10,/Archives/edgar/data/813470/000081347005000007/0000813470-05-000007.txt,text,
813470,ADVANCE_CAPITAL_I_INC,2005/2/8,/Archives/edgar/data/813470/000081347005000001/0000813470-05-000001.txt,text,
813470,ADVANCE_CAPITAL_I_INC,2004/11/12,/Archives/edgar/data/813470/000081347004000015/0000813470-04-000015.txt,text,
813470,ADVANCE_CAPITAL_I_INC,2004/8/12,/Archives/edgar/data/813470/000081347004000011/0000813470-04-000011.txt,text,
813470,ADVANCE_CAPITAL_I_INC,2004/5/6,/Archives/edgar/data/813470/000081347004000008/0000813470-04-000008.txt,text,
813470,ADVANCE_CAPITAL_I_INC,2004/2/11,/Archives/edgar/data/813470/000081347004000001/0000813470-04-000001.txt,text,
813470,ADVANCE_CAPITAL_I_INC,2003/10/21,/Archives/edgar/data/813470/000081347003000012/0000813470-03-000012.txt,text,
813470,ADVANCE_CAPITAL_I_INC,2003/8/12,/Archives/edgar/data/813470/000081347003000009/0000813470-03-000009.txt,text,
813470,ADVANCE_CAPITAL_I_INC,2003/5/5,/Archives/edgar/data/813470/000081347003000007/0000813470-03-000007.txt,text,
813470,ADVANCE_CAPITAL_I_INC,2003/2/13,/Archives/edgar/data/813470/000081347003000001/0000813470-03-000001.txt,text,
813470,ADVANCE_CAPITAL_I_INC,2002/11/1,/Archives/edgar/data/813470/000081347002000011/0000813470-02-000011.txt,text,
813470,ADVANCE_CAPITAL_I_INC,2002/8/6,/Archives/edgar/data/813470/000081347002000008/0000813470-02-000008.txt,text,
813470,ADVANCE_CAPITAL_I_INC,2002/4/17,/Archives/edgar/data/813470/000081347002000005/0000813470-02-000005.txt,text,
813470,ADVANCE_CAPITAL_I_INC,2002/2/4,/Archives/edgar/data/813470/000081347002000001/0000813470-02-000001.txt,text,
813470,ADVANCE_CAPITAL_I_INC,2001/10/24,/Archives/edgar/data/813470/000081347001500011/0000813470-01-500011.txt,text,
